field_id,look,crop,last_acquisition,harvest,lead_days
Argentina_DUP1_farm11_field106_soybean_2024,1,soybean,2023-12-30,2024-04-20,112
Argentina_DUP1_farm15_field126_soybean_2018,1,soybean,2017-12-18,2018-04-04,107
Argentina_DUP1_farm15_field129_soybean_2018,1,soybean,2018-01-22,2018-03-13,50
Argentina_DUP1_farm15_field130_soybean_2018,1,soybean,2018-02-06,2018-03-14,36
Argentina_DUP1_farm15_field132_soybean_2019,1,soybean,2018-12-28,2019-03-23,85
Argentina_DUP1_farm15_field142_soybean_2020,1,soybean,2020-01-30,2020-03-21,51
Argentina_DUP1_farm15_field146_soybean_2021,1,soybean,2020-12-10,2021-04-07,118
Argentina_DUP1_farm15_field151_soybean_2022,1,soybean,2021-12-25,2022-04-08,104
Argentina_DUP1_farm15_field153_soybean_2022,1,soybean,2021-12-25,2022-03-31,96
Argentina_DUP1_farm16_field155_soybean_2021,1,soybean,2021-01-14,2021-04-27,103
Argentina_DUP1_farm17_field171_soybean_2019,1,soybean,2019-01-07,2019-03-23,75
Argentina_DUP1_farm17_field172_soybean_2019,1,soybean,2019-01-07,2019-04-02,85
Argentina_DUP1_farm17_field185_soybean_2021,1,soybean,2021-01-26,2021-04-30,94
Argentina_DUP1_farm17_field192_soybean_2019,1,soybean,2019-01-10,2019-04-18,98
Argentina_DUP1_farm19_field204_wheat_2021,1,wheat,2021-09-13,2021-12-18,96
Argentina_DUP1_farm1_field4_soybean_2022,1,soybean,2021-12-27,2022-04-19,113
Argentina_DUP1_farm22_field213_wheat_2023,1,wheat,2023-08-04,2023-12-10,128
Argentina_DUP1_farm22_field215_soybean_2024,1,soybean,2024-01-04,2024-04-08,95
Argentina_DUP1_farm22_field217_soybean_2024,1,soybean,2024-02-10,2024-04-29,79
Argentina_DUP1_farm23_field222_soybean_2021,1,soybean,2021-01-21,2021-04-28,97
Argentina_DUP1_farm23_field224_soybean_2021,1,soybean,2021-01-31,2021-05-08,97
Argentina_DUP1_farm23_field225_soybean_2019,1,soybean,2019-01-27,2019-04-21,84
Argentina_DUP1_farm23_field228_soybean_2020,1,soybean,2019-12-18,2020-04-10,114
Argentina_DUP1_farm24_field234_corn_2021,1,corn,2021-01-23,2021-07-08,166
Argentina_DUP1_farm24_field235_corn_2021,1,corn,2020-11-29,2021-03-10,101
Argentina_DUP1_farm25_field242_corn_2023,1,corn,2023-03-03,2023-08-09,159
Argentina_DUP1_farm25_field249_corn_2023,1,corn,2023-02-01,2023-06-29,148
Argentina_DUP1_farm25_field252_corn_2023,1,corn,2023-02-16,2023-07-25,159
Argentina_DUP1_farm25_field253_corn_2023,1,corn,2023-02-06,2023-07-02,146
Argentina_DUP1_farm25_field256_soybean_2023,1,soybean,2023-01-17,2023-04-28,101
Argentina_DUP1_farm25_field259_soybean_2023,1,soybean,2023-01-27,2023-04-21,84
Argentina_DUP1_farm25_field261_corn_2023,1,corn,2023-02-01,2023-07-16,165
Argentina_DUP1_farm27_field270_soybean_2021,1,soybean,2020-12-17,2021-04-15,119
Argentina_DUP1_farm27_field276_soybean_2021,1,soybean,2020-12-22,2021-04-05,104
Argentina_DUP1_farm27_field280_soybean_2021,1,soybean,2020-12-12,2021-04-01,110
Argentina_DUP1_farm27_field286_soybean_2017,1,soybean,2016-12-08,2017-05-01,144
Argentina_DUP1_farm27_field310_soybean_2021,1,soybean,2020-12-17,2021-05-05,139
Argentina_DUP1_farm27_field311_soybean_2021,1,soybean,2020-12-12,2021-04-28,137
Argentina_DUP1_farm28_field314_wheat_2021,1,wheat,2021-08-12,2021-11-23,103
Argentina_DUP1_farm28_field321_wheat_2023,1,wheat,2023-06-20,2023-11-09,142
Argentina_DUP1_farm28_field322_corn_2022,1,corn,2021-11-07,2022-03-15,128
Argentina_DUP1_farm29_field324_soybean_2023,1,soybean,2022-12-27,2023-04-07,101
Argentina_DUP1_farm2_field11_corn_2022,1,corn,2022-01-16,2022-07-04,169
Argentina_DUP1_farm2_field17_corn_2022,1,corn,2021-12-02,2022-04-23,142
Argentina_DUP1_farm2_field21_corn_2022,1,corn,2021-12-02,2022-04-22,141
Argentina_DUP1_farm2_field42_soybean_2023,1,soybean,2022-12-20,2023-04-08,109
Argentina_DUP1_farm2_field45_soybean_2023,1,soybean,2022-12-20,2023-04-07,108
Argentina_DUP1_farm2_field52_corn_2024,1,corn,2023-11-27,2024-03-22,116
Argentina_DUP1_farm2_field7_corn_2022,1,corn,2021-12-02,2022-02-17,77
Argentina_DUP1_farm32_field340_corn_2022,1,corn,2022-02-13,2022-08-19,187
Argentina_DUP1_farm36_field381_corn_2022,1,corn,2022-03-23,2022-08-02,132
Argentina_DUP1_farm37_field395_soybean_2021,1,soybean,2020-12-24,2021-04-02,99
Argentina_DUP1_farm37_field396_soybean_2021,1,soybean,2021-01-23,2021-05-09,106
Argentina_DUP1_farm37_field399_soybean_2022,1,soybean,2021-12-22,2022-04-14,113
Argentina_DUP1_farm37_field406_soybean_2020,1,soybean,2020-01-24,2020-04-08,75
Argentina_DUP1_farm39_field428_wheat_2023,1,wheat,2023-08-29,2023-12-10,103
Argentina_DUP1_farm40_field431_wheat_2020,1,wheat,2020-09-23,2020-12-09,77
Argentina_DUP1_farm42_field437_soybean_2022,1,soybean,2021-12-25,2022-04-02,98
Argentina_DUP1_farm42_field438_soybean_2022,1,soybean,2021-12-30,2022-04-08,99
Argentina_DUP1_farm44_field447_wheat_2020,1,wheat,2020-08-14,2020-11-23,101
Argentina_DUP1_farm44_field448_corn_2020,1,corn,2019-12-06,2020-07-31,238
Argentina_DUP1_farm44_field453_wheat_2021,1,wheat,2021-08-04,2021-11-11,99
Argentina_DUP1_farm44_field458_soybean_2018,1,soybean,2017-12-18,2018-04-20,123
Argentina_DUP1_farm44_field460_corn_2018,1,corn,2017-11-23,2018-02-21,90
Argentina_DUP1_farm44_field465_wheat_2018,1,wheat,2018-08-15,2018-11-19,96
Argentina_DUP1_farm44_field466_soybean_2020,1,soybean,2020-01-07,2020-04-22,106
Argentina_DUP1_farm44_field467_wheat_2020,1,wheat,2020-08-02,2020-11-12,102
Argentina_DUP1_farm44_field471_soybean_2018,1,soybean,2017-12-28,2018-04-18,111
Argentina_DUP1_farm44_field474_wheat_2018,1,wheat,2018-08-20,2018-11-20,92
Argentina_DUP1_farm44_field476_soybean_2019,1,soybean,2019-01-07,2019-04-10,93
Argentina_DUP1_farm44_field482_soybean_2018,1,soybean,2018-01-02,2018-05-18,136
Argentina_DUP1_farm44_field494_corn_2019,1,corn,2018-11-16,2019-02-21,97
Argentina_DUP1_farm44_field495_wheat_2020,1,wheat,2020-07-25,2020-11-22,120
Argentina_DUP1_farm44_field498_soybean_2018,1,soybean,2017-12-28,2018-04-18,111
Argentina_DUP1_farm44_field499_corn_2021,1,corn,2021-01-14,2021-06-25,162
Argentina_DUP1_farm44_field509_soybean_2021,1,soybean,2020-12-22,2021-04-16,115
Argentina_DUP1_farm44_field511_soybean_2020,1,soybean,2019-12-23,2020-03-31,99
Argentina_DUP1_farm44_field514_corn_2019,1,corn,2019-01-27,2019-07-10,164
Argentina_DUP1_farm44_field521_wheat_2021,1,wheat,2021-07-25,2021-11-21,119
Argentina_DUP1_farm44_field523_soybean_2021,1,soybean,2020-12-22,2021-04-19,118
Argentina_DUP1_farm44_field532_corn_2020,1,corn,2019-11-11,2020-02-27,108
Argentina_DUP1_farm44_field545_wheat_2020,1,wheat,2020-07-25,2020-11-24,122
Argentina_DUP1_farm44_field558_wheat_2021,1,wheat,2021-08-17,2021-11-20,95
Argentina_DUP1_farm44_field565_corn_2019,1,corn,2019-02-06,2019-07-15,159
Argentina_DUP1_farm44_field566_soybean_2019,1,soybean,2019-01-02,2019-05-03,121
Argentina_DUP1_farm45_field575_corn_2022,1,corn,2021-11-27,2022-03-29,122
Argentina_DUP1_farm45_field577_wheat_2019,1,wheat,2019-09-04,2019-12-05,92
Argentina_DUP1_farm45_field579_wheat_2020,1,wheat,2020-09-08,2020-12-08,91
Argentina_DUP1_farm45_field602_corn_2017,1,corn,2016-11-18,2017-03-27,129
Argentina_DUP1_farm45_field609_corn_2017,1,corn,2016-11-18,2017-03-23,125
Argentina_DUP1_farm45_field612_wheat_2020,1,wheat,2020-09-23,2020-12-12,80
Argentina_DUP1_farm45_field613_wheat_2020,1,wheat,2020-09-08,2020-12-06,89
Argentina_DUP1_farm45_field621_corn_2017,1,corn,2016-11-18,2017-03-13,115
Argentina_DUP1_farm45_field622_wheat_2021,1,wheat,2021-09-13,2021-11-27,75
Argentina_DUP1_farm45_field633_soybean_2023,1,soybean,2022-12-02,2023-05-02,151
Argentina_DUP1_farm49_field660_soybean_2021,1,soybean,2020-12-30,2021-04-01,92
Argentina_DUP1_farm49_field665_soybean_2023,1,soybean,2022-12-20,2023-04-10,111
Argentina_DUP1_farm51_field677_corn_2022,1,corn,2021-11-22,2022-03-12,110
Argentina_DUP1_farm51_field681_corn_2022,1,corn,2021-11-22,2022-03-02,100
Argentina_DUP1_farm52_field690_soybean_2020,1,soybean,2020-02-11,2020-05-07,86
Argentina_DUP1_farm52_field694_soybean_2022,1,soybean,2021-12-15,2022-03-30,105
Argentina_DUP1_farm52_field705_soybean_2022,1,soybean,2021-12-22,2022-04-14,113
Argentina_DUP1_farm52_field712_soybean_2021,1,soybean,2020-12-17,2021-04-06,110
Argentina_DUP1_farm52_field713_soybean_2021,1,soybean,2021-02-10,2021-05-14,93
Argentina_DUP1_farm54_field732_corn_2019,1,corn,2018-11-21,2019-08-21,273
Argentina_DUP1_farm54_field738_wheat_2018,1,wheat,2018-09-04,2018-12-05,92
Argentina_DUP1_farm54_field740_soybean_2020,1,soybean,2020-01-07,2020-04-05,89
Argentina_DUP1_farm54_field742_wheat_2020,1,wheat,2020-08-09,2020-11-11,94
Argentina_DUP1_farm56_field751_soybean_2023,1,soybean,2023-01-09,2023-04-26,107
Argentina_DUP1_farm57_field754_soybean_2022,1,soybean,2022-01-09,2022-04-29,110
Argentina_DUP1_farm5_field59_soybean_2024,1,soybean,2024-02-03,2024-04-05,62
Argentina_DUP1_farm5_field61_wheat_2023,1,wheat,2023-08-14,2023-11-27,105
Argentina_DUP1_farm6_field72_soybean_2023,1,soybean,2023-01-03,2023-04-21,108
Argentina_DUP1_farm6_field73_soybean_2023,1,soybean,2023-01-03,2023-04-05,92
Argentina_DUP1_farm6_field75_soybean_2023,1,soybean,2022-12-29,2023-04-27,119
Argentina_DUP1_farm9_field93_soybean_2022,1,soybean,2021-12-24,2022-04-18,115
Argentina_DUP1_farm9_field97_soybean_2024,1,soybean,2023-12-27,2024-04-20,115
Brazil_DUP2_farm2_field21_soybean_2022,1,soybean,2021-11-15,2022-02-03,80
Brazil_DUP2_farm2_field34_soybean_2018,1,soybean,2017-12-06,2018-03-07,91
Brazil_DUP2_farm2_field37_wheat_2023,1,wheat,2023-05-24,2023-09-02,101
Brazil_DUP2_farm2_field40_soybean_2022,1,soybean,2021-11-15,2022-02-03,80
Brazil_DUP2_farm2_field48_soybean_2022,1,soybean,2021-11-15,2022-02-04,81
Brazil_DUP2_farm2_field7_soybean_2024,1,soybean,2023-11-05,2024-01-08,64
Brazil_DUP2_farm3_field55_soybean_2021,1,soybean,2020-12-30,2021-03-24,84
Brazil_DUP2_farm3_field56_soybean_2022,1,soybean,2021-12-10,2022-03-24,104
Brazil_DUP2_farm4_field112_corn_2024,1,corn,2023-12-20,2024-03-15,86
Brazil_DUP2_farm4_field114_soybean_2017,1,soybean,2016-12-16,2017-03-25,99
Brazil_DUP2_farm4_field58_soybean_2020,1,soybean,2019-12-31,2020-03-26,86
Brazil_DUP2_farm4_field65_corn_2018,1,corn,2018-03-21,2018-07-18,119
Brazil_DUP2_farm4_field71_corn_2023,1,corn,2023-05-14,2023-09-08,117
Brazil_DUP2_farm4_field85_soybean_2018,1,soybean,2017-11-16,2018-02-17,93
Brazil_DUP2_farm4_field87_soybean_2023,1,soybean,2022-11-20,2023-03-19,119
Brazil_DUP2_farm4_field97_soybean_2017,1,soybean,2016-12-16,2017-03-22,96
Brazil_DUP2_farm5_field143_corn_2020,1,corn,2020-04-04,2020-08-26,144
Brazil_DUP2_farm5_field152_soybean_2022,1,soybean,2021-11-20,2022-02-10,82
Brazil_DUP2_farm5_field157_corn_2023,1,corn,2022-12-30,2023-04-23,114
Brazil_DUP2_farm5_field160_corn_2023,1,corn,2022-12-30,2023-04-13,104
Brazil_DUP2_farm5_field161_wheat_2018,1,wheat,2018-06-29,2018-10-10,103
Brazil_DUP2_farm5_field162_soybean_2022,1,soybean,2021-12-10,2022-02-26,78
Brazil_DUP2_farm5_field173_wheat_2021,1,wheat,2021-07-03,2021-09-27,86
Brazil_DUP2_farm5_field176_wheat_2018,1,wheat,2018-06-29,2018-10-03,96
Brazil_DUP2_farm5_field180_soybean_2024,1,soybean,2023-11-15,2024-02-08,85
Brazil_DUP2_farm5_field181_soybean_2018,1,soybean,2017-12-01,2018-03-16,105
Brazil_DUP2_farm5_field190_wheat_2018,1,wheat,2018-06-29,2018-10-03,96
Brazil_DUP2_farm5_field229_wheat_2019,1,wheat,2019-05-25,2019-09-13,111
Brazil_DUP2_farm5_field239_soybean_2022,1,soybean,2021-11-25,2022-02-15,82
Brazil_DUP2_farm5_field240_soybean_2021,1,soybean,2020-12-10,2021-03-19,99
Brazil_DUP2_farm5_field250_corn_2023,1,corn,2022-12-25,2023-04-04,100
Brazil_DUP2_farm5_field261_corn_2023,1,corn,2022-12-30,2023-04-23,114
Brazil_DUP2_farm5_field266_corn_2020,1,corn,2020-03-30,2020-08-03,126
Brazil_DUP2_farm5_field270_soybean_2024,1,soybean,2023-11-20,2024-02-04,76
Brazil_DUP2_farm5_field271_soybean_2024,1,soybean,2023-11-15,2024-02-03,80
Brazil_DUP2_farm6_field300_soybean_2022,1,soybean,2021-12-10,2022-03-22,102
Brazil_DUP2_farm6_field311_corn_2024,1,corn,2023-12-20,2024-03-04,75
Brazil_DUP2_farm6_field315_soybean_2022,1,soybean,2021-12-10,2022-03-10,90
Brazil_DUP2_farm6_field327_soybean_2022,1,soybean,2021-12-10,2022-03-22,102
Brazil_DUP2_farm6_field344_soybean_2017,1,soybean,2016-11-06,2017-02-27,113
Brazil_DUP2_farm6_field350_soybean_2023,1,soybean,2022-11-25,2023-02-08,75
Brazil_DUP2_farm6_field357_soybean_2021,1,soybean,2020-12-10,2021-03-21,101
Brazil_DUP2_farm6_field360_soybean_2017,1,soybean,2016-11-06,2017-02-17,103
Brazil_DUP2_farm6_field367_corn_2023,1,corn,2023-03-30,2023-08-03,126
Brazil_DUP2_farm6_field370_soybean_2020,1,soybean,2019-11-01,2020-02-01,92
Brazil_DUP2_farm6_field406_corn_2024,1,corn,2023-12-20,2024-02-24,66
Brazil_DUP2_farm6_field412_soybean_2022,1,soybean,2021-12-10,2022-03-10,90
Brazil_DUP2_farm6_field422_soybean_2021,1,soybean,2020-12-10,2021-03-29,109
Brazil_DUP2_farm6_field435_wheat_2022,1,wheat,2022-05-24,2022-09-17,116
Brazil_DUP2_farm6_field436_soybean_2017,1,soybean,2016-11-06,2017-02-17,103
Brazil_DUP2_farm6_field443_corn_2024,1,corn,2023-12-20,2024-03-09,80
Brazil_DUP2_farm6_field452_corn_2023,1,corn,2023-03-30,2023-08-03,126
Brazil_DUP2_farm6_field456_corn_2020,1,corn,2020-03-05,2020-07-17,134
Brazil_DUP2_farm6_field464_corn_2020,1,corn,2020-03-05,2020-07-07,124
Brazil_DUP2_farm6_field467_soybean_2020,1,soybean,2019-11-01,2020-01-28,88
Brazil_DUP2_farm7_field473_soybean_2018,1,soybean,2017-11-16,2018-03-01,105
Brazil_DUP2_farm7_field474_soybean_2017,1,soybean,2016-11-26,2017-03-12,106
Brazil_DUP2_farm8_field493_soybean_2024,1,soybean,2023-11-05,2024-01-07,63
Brazil_DUP2_farm8_field495_soybean_2024,1,soybean,2023-11-05,2024-01-03,59
Brazil_DUP2_farm8_field498_soybean_2024,1,soybean,2023-11-05,2024-01-05,61
Brazil_DUP2_farm9_field500_soybean_2018,1,soybean,2017-11-16,2018-02-24,100
Brazil_DUP2_farm9_field505_wheat_2019,1,wheat,2019-06-04,2019-09-18,106
Brazil_DUP2_farm9_field515_corn_2023,1,corn,2022-12-10,2023-03-25,105
Brazil_DUP2_farm9_field520_wheat_2019,1,wheat,2019-06-04,2019-09-23,111
Brazil_DUP2_farm9_field521_corn_2018,1,corn,2018-04-10,2018-07-29,110
Brazil_DUP2_farm9_field530_soybean_2017,1,soybean,2016-12-16,2017-03-14,88
Brazil_DUP2_farm9_field533_wheat_2023,1,wheat,2023-05-14,2023-08-16,94
Brazil_DUP2_farm9_field539_corn_2018,1,corn,2018-04-10,2018-07-28,109
Brazil_DUP2_farm9_field547_soybean_2023,1,soybean,2023-10-26,2023-12-29,64
Germany_DUP3_farm1_field16_wheat_2016,1,wheat,2016-04-19,2016-08-11,114
Germany_DUP3_farm1_field23_wheat_2017,1,wheat,2017-04-27,2017-08-24,119
Germany_DUP3_farm1_field25_rapeseed_2017,1,rapeseed,2016-09-16,2017-08-03,321
Germany_DUP3_farm1_field37_wheat_2017,1,wheat,2017-04-27,2017-08-08,103
Germany_DUP3_farm1_field53_wheat_2016,1,wheat,2016-04-29,2016-08-08,101
Germany_DUP3_farm1_field54_rapeseed_2019,1,rapeseed,2019-03-18,2019-08-04,139
Germany_DUP3_farm1_field57_wheat_2019,1,wheat,2019-05-19,2019-08-18,91
